id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1042159,DREAMY Chic Apartment ,5737255,Sarina,,Ramsey,44.95422,-93.14299,Entire home/apt,85,2,101,2018-08-19,1.46,1,0
1058209,Uptown Brownstone with Parking,1462147,Faith,,Hennepin,44.95032,-93.30198,Entire home/apt,150,2,20,2018-10-28,0.29,1,320
1075369,2 Bedroom Urban Nest Brownstone,4208173,Salle,,Hennepin,44.94611,-93.24817,Entire home/apt,155,7,20,2018-11-09,0.31,7,286
1075404,Charming Condo Brownstone 2 Bedroom,4208173,Salle,,Hennepin,44.94737,-93.24798,Entire home/apt,155,7,14,2017-07-25,0.20,7,340
1075439,Contemporary Urban Condo 1 Bedroom,4208173,Salle,,Hennepin,44.94762,-93.24772,Entire home/apt,135,7,16,2018-09-15,0.23,7,275
1090512,Arts/Crafts house near Lake Harriet,5968312,Tom,,Hennepin,44.92677,-93.28337,Private room,75,2,33,2018-10-28,0.48,1,359
1107895,S&J#14E~3+BR Uptown Downtown MallAmerica Hwy&Bus!,1207842,Scott & Jenna,,Hennepin,44.94728,-93.34705,Entire home/apt,189,2,6,2018-12-29,0.10,34,357
1107925,S&J#35~8BR UptwnEdinaDtownGameRoom!,1207842,Scott & Jenna,,Hennepin,44.94703,-93.34606,Entire home/apt,637,2,2,2018-08-05,0.04,34,358
1156945,Dearing Mansion Room With A View,6339719,Scott,,Ramsey,44.93039,-93.09715,Private room,90,1,127,2018-10-20,1.80,6,125
1187285,Minutes from Uptown and Downtown Mpls,6492183,Ross,,Hennepin,44.95303,-93.2579,Private room,55,3,15,2018-06-17,0.22,3,364
1191693,Kozy Komfort at KariEli's,6511526,Kari,,Hennepin,44.84418,-93.45369,Entire home/apt,70,1,21,2017-10-16,0.77,1,0
1213007,Private guest room with lower level living space,6621715,Ryan,,Anoka,45.0597,-93.23978,Private room,50,1,91,2018-11-18,1.33,1,354
1221532,Beautifully Furnished Studio,6664110,Kris,,Hennepin,44.94733,-93.29033,Entire home/apt,70,2,6,2018-12-16,1.15,6,0
1236594,Lovely 3BD Near Parks & Downtown,6742086,Eliza,,Hennepin,44.96909,-93.29545,Entire home/apt,180,1,115,2019-01-01,1.65,3,66
1243797,St.Anthony Park Duplex 3 Bedroom,6779248,Robert,,Ramsey,44.9815,-93.1985,Entire home/apt,185,3,37,2019-01-05,0.56,3,342
1256215,9 Miles to US Bank Stadium (Super Bowl Location :),631231,Katherine,,Ramsey,45.00996,-93.10923,Entire home/apt,300,3,29,2017-09-05,0.42,1,364
1256964,"Room with a view, St. Croix River",4447289,Sally,,Pierce,44.74952,-92.80268,Private room,100,1,22,2018-10-14,0.35,2,365
1262108,Pvt 2-bed apartment close to downtown!,589916,Randy,,Hennepin,44.99713,-93.28618,Private room,60,1,114,2019-02-03,1.67,1,351
1276740,Dearing Mansion Master Suite.  2-4 persons!,6339719,Scott,,Ramsey,44.93038,-93.09592,Private room,95,1,61,2019-01-18,0.88,6,115
1293792,Sunny Studio just south of downtown,2286342,Susan,,Hennepin,44.95841,-93.26877,Private room,74,2,91,2018-09-10,1.57,2,89
1342854,Riverside Rambler in Historic District,7283087,Laura And Ken,,Hennepin,44.99284,-93.26755,Entire home/apt,125,2,40,2018-12-31,0.59,2,7
1349064,Uptown - North Woods Vibes in the ❤ of MPLS,7319271,Philip,,Hennepin,44.94058,-93.28707,Entire home/apt,79,1,136,2019-03-01,4.08,1,340
1351602,Dearing Mansion Private Room,6339719,Scott,,Ramsey,44.92944,-93.09672,Private room,85,1,24,2017-10-15,0.35,6,32
1361241,"Spacious Urban Apt with Private, Tree-level Porch",7390103,Zach And Betsy,,Hennepin,44.95988,-93.2641,Entire home/apt,87,1,236,2018-08-01,3.44,4,0
1408265,Ritz-Like Serenity On Lake Calhoun!,5425203,Robert,,Hennepin,44.94974,-93.32016,Entire home/apt,229,5,12,2016-10-02,0.18,1,358
1420907,Cozy private 1BR perfect for Super Bowl travelers!,7644742,Cindy,,Hennepin,45.03862,-93.44832,Private room,400,2,0,,,3,0
1466436,"10min from MoA, free parking, quiet",7854843,Brian,,Dakota,44.72204,-93.22327,Private room,100,1,0,,,1,365
1489707,"A warm, homey place to rest",7966297,Jennifer,,Hennepin,44.89237,-93.25633,Private room,90,1,0,,,1,88
1534692,3BR Downtown Mansion District Suite,8180661,A.R.,,Hennepin,44.9618,-93.27335,Entire home/apt,189,2,28,2018-08-17,0.61,4,291
1546251,Private room in modern farmhouse,7590506,Frank,,Pierce,44.82357,-92.40464,Private room,80,1,1,2013-10-21,0.02,1,365
1560708,PRIVATE SUITE W/BATH close to everything UT/DT,6563029,Kirsten & Bruce,,Hennepin,44.96468,-93.30156,Private room,79,2,83,2018-10-21,1.24,4,359
1567074,"Bedroom Suite, Walk to U. of MN, Saint Paul Campus",688403,Delia,,Ramsey,44.97632,-93.19076,Private room,85,2,11,2018-11-02,0.17,3,362
1570725,"Private Bedroom,  walk to Campus!",688403,Delia,,Ramsey,44.97631,-93.19152,Private room,75,2,31,2018-09-20,0.46,3,365
1583582,Lower Unit Garden Studio Apartment,8432798,Patrick,,Hennepin,44.96474,-93.28967,Entire home/apt,100,2,170,2019-02-10,2.58,7,316
1617494,Central to Everything!,1032528,Deborah,,Ramsey,44.94879,-93.1791,Private room,50,2,41,2019-01-01,0.67,3,310
