id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22848639,4 Bedroom Home Downtown Columbus Victorian Village,28695156,Miles,,Near North/University,39.98465264674499,-83.01546306081885,Entire home/apt,300,1,31,2019-01-21,2.68,4,325
22866713,Short North Charmer 2 bed 1.5 bath home with patio,3142282,Adrienne,,Near North/University,39.982441920686014,-83.02048033977815,Entire home/apt,85,2,26,2019-01-13,2.53,1,322
22920809,Private Carriage House - Prime Location & Parking,31798233,Sam,,Near North/University,39.985499204110134,-83.00128830000328,Entire home/apt,150,1,70,2019-02-03,6.38,4,211
22922640,Walk to OSU and the Short North! (C),52670347,Pat,,Near North/University,39.99036979315359,-83.0073024534305,Entire home/apt,119,2,48,2019-01-27,4.00,5,136
22923400,The Dublin Retreat! North C-bus Housepitality,115836608,Erich,,Northwest,40.08427690363735,-83.09811953625871,Entire home/apt,130,1,64,2019-01-04,5.19,1,67
22958789,Updated Modern Home - Short North Victorian Vill,10584778,Andy,,Near North/University,39.98233878320442,-83.01904614684283,Entire home/apt,99,1,50,2019-01-27,4.29,2,192
22959248,CENTRALLY LOCATED! Spacious Columbus Family Home,170105791,Betty,,Northeast,40.0092626800115,-82.92093568521813,Entire home/apt,135,2,8,2018-11-04,0.69,1,335
22998312,Ballroom Penthouse In The Center Of Columbus,70413293,STR Capital,,Near South,39.94092072967775,-82.99752222778487,Entire home/apt,75,1,55,2019-01-22,4.41,40,64
23004939,Top Rated Columbus Home w/ 24Hr Gym,14725198,Rachael,,Clintonville,40.03142196795757,-83.0103999540277,Entire home/apt,100,1,60,2019-01-01,4.92,1,222
23005234,Private Home-Walk to Convention Center!,119188865,Bridgid,,Near North/University,39.98237818334215,-82.99922002725137,Entire home/apt,90,2,12,2018-11-25,1.05,4,355
23041995,Simplistic Home Great Location,70413293,STR Capital,,Near North/University,39.986662289663144,-83.00234662621337,Entire home/apt,70,1,30,2019-01-01,2.41,40,346
23072632,Clintonville Cottage: OSU /MAPFRE/ Short North,66467665,Ashley,,Clintonville,40.037874877124764,-83.00318770838409,Entire home/apt,140,2,5,2018-06-25,0.50,1,293
23075065,Completely Updated Huge Downtown 4BR Townhouse,9152651,Jon,,Downtown,39.96296984334361,-82.98736551560471,Entire home/apt,140,1,38,2019-02-03,3.47,20,40
