id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29778923,Wash Park Modern Apt | King Bed | Spa Shower,177727139,Amber,,Washington Park,39.7033,-104.96659,Entire home/apt,140,1,7,2019-02-10,3.68,1,0
29799747,Perfect Room w/ Hot Tub & Sauna in Art District!,291558,Alex,,Lincoln Park,39.73733,-104.99722,Private room,74,1,12,2019-02-10,3.64,3,2
29806075,Centrally Located & Super Comfortable,23790681,Victoria,,Cory - Merrill,39.68696,-104.94406,Entire home/apt,125,1,1,2018-12-09,0.42,2,0
29829520,Homestay Denver: Comfy beds in City Center!,220292075,Greg,,Civic Center,39.73268,-104.98826,Shared room,35,1,6,2019-02-01,1.71,13,79
29830102,Bright & Airy Second-story Highlands Guesthouse,1750207,Kimberly & Marke,,West Highland,39.76104,-105.03964,Entire home/apt,125,1,3,2019-02-13,3,1,174
29830208,Expansive *420 Friendly* Modern Highlands Bungalow,131666019,Carla,,Highland,39.76845,-105.00689,Entire home/apt,190,1,0,,,3,24
29832312,Extraordinary Home Blocks From Mile High Stadium,221013714,Robert,,Sloan Lake,39.74779,-105.02911,Entire home/apt,225,2,2,2019-01-02,1.13,4,125
29834101,"NEW! The Getaway - 2 Bed/1 Bath  Highlands, Denver",183568154,Jesse,,Highland,39.76741,-105.0169,Entire home/apt,95,1,10,2019-02-10,3.03,2,99
29851315,Cap Hill Victorian Home Near Bars and Restaurants,90231196,Lindsay,,Capitol Hill,39.72742,-104.98481,Private room,61,1,17,2019-02-13,6.22,1,82
29855042,Private studio in Denver's best area: Highlands,38600553,Lindsey,,Berkeley,39.77293,-105.0339,Entire home/apt,90,1,8,2019-02-10,3.48,1,331
29856627,Guest Suite with Private Entrance & Parking,615,Joe,,Virginia Village,39.69586,-104.92581,Entire home/apt,40,3,3,2019-01-05,1.18,3,137
29858077,Spacious Cap Hill 1bd - 60 DAY MINIMUM STAY,224556263,Christoph,,Capitol Hill,39.73344,-104.97946,Entire home/apt,59,60,0,,,1,14
29858733,Cozy Renovated Guest Suite with Private Entrance,224561664,Jessica,,Ruby Hill,39.68719,-105.02203,Private room,85,1,15,2019-02-15,5.06,1,68
29860992,Entire Spacious Condo By Denver Airport & Downtown,90592932,Victoria,,DIA,39.80317,-104.77108,Entire home/apt,100,1,40,2019-02-15,13.79,2,249
29877371,Stylish Highlands house,3562521,Hope,,Sloan Lake,39.75707,-105.02765,Entire home/apt,90,1,6,2019-02-01,2.28,1,88
29880130,Downtown Denver's Best Location!,9879989,Tommy,,Union Station,39.75488,-105.00504,Entire home/apt,189,30,0,,,3,183
29881875,Cozy Guest Suite less than a block from City Park,203311056,Nick,,Skyland,39.75581,-104.95757,Entire home/apt,69,1,22,2019-02-06,7.59,1,74
29896787,BoHo Cabin in the Heart of the City,28074082,Sarah,,Whittier,39.75919,-104.96417,Entire home/apt,105,2,4,2019-01-02,1.40,1,11
29905999,"RiNo Luxury Flat w/ Patio, Mountain View, Parking",60249906,Nate,,Five Points,39.75753,-104.98554,Entire home/apt,127,1,0,,,1,277
29906325,Urban Cottage,772942,Anastacia,,Whittier,39.75818,-104.97191,Entire home/apt,100,2,3,2019-02-10,0.90,3,10
29906744,Homestay Denver: Comfy beds in City Center!,220292075,Greg,,Civic Center,39.73526,-104.99072,Shared room,35,1,11,2019-02-11,3.93,13,76
29908440,Cozy Walk Out Basement,224889070,Hanna,,Gateway - Green Valley Ranch,39.78423,-104.75002,Private room,60,2,4,2019-01-01,1.20,1,140
29909989,Urban Cottage,772942,Anastacia,,Whittier,39.7582,-104.97201,Entire home/apt,100,2,1,2018-12-15,0.45,3,63
29922325,Beautiful & Modern 2 Br 2 Ba LoDo Apartment,24376934,Carly,,Union Station,39.75688,-105.00193,Entire home/apt,150,3,5,2018-12-26,1.74,1,0
29922993,"Quiet, safe, early check in & Free Breakfast",31370522,Greg,,Stapleton,39.75963,-104.89893,Private room,39,3,3,2018-12-31,0.98,1,90
29923212,Cozy Globeville Gem,224986735,Brooke,,Globeville,39.78304,-104.97947,Entire home/apt,65,1,24,2019-02-14,8.00,1,24
29926839,"Beautiful, Private 2BR/1BA near City Park and RiNo",223153666,Mo,,Cole,39.76224,-104.96126,Entire home/apt,85,2,13,2019-02-11,4.29,1,83
29939466,Spacious and Convenient Near Airport & Downtown,131209737,Carol,,Stapleton,39.7539,-104.89756,Entire home/apt,90,3,5,2019-02-02,3.26,1,66
29940130,"Downtown, Convention, and Events Paradise Getaway",213008028,Grayson,,Civic Center,39.7379,-104.99485,Entire home/apt,199,2,10,2019-02-10,4.92,1,168
29942515,"Great light, free parking, Capitol Hill home",161901634,Erin,,Capitol Hill,39.73174,-104.97782,Entire home/apt,90,3,3,2019-01-28,1.91,1,0
29942532,16th Street Mall Loft,225122446,Caty,,CBD,39.74376,-104.99369,Private room,200,1,3,2019-02-08,1.84,1,76
29943487,Great Capital Hill Condo with Mountain Views,615,Joe,,Capitol Hill,39.72833,-104.97835,Entire home/apt,66,90,0,,,3,340
29943880,Washington Park Retreat/ Walkable,25518591,Amanda,,Speer,39.71771,-104.97942,Entire home/apt,84,1,17,2019-02-13,5.93,2,223
29945277,Peaceful Hideaway,220323534,Micki,,Chaffee Park,39.78725,-105.02508,Entire home/apt,56,1,10,2019-02-15,4.55,1,222
29947191,Clean and Cozy Denver Home Near Downtown #448454,225159959,Kelly,,North Park Hill,39.76011,-104.93244,Entire home/apt,135,2,6,2019-01-05,2.09,1,18
29947958,Cozy Craftsman Bungalow in the Baker Neighborhood,64514186,Jason,,Baker,39.72171,-104.99494,Entire home/apt,100,2,4,2019-02-10,1.85,1,42
29967439,Cozy & Quiet West Wash Park Condo,225315403,Krista,,Speer,39.71372,-104.98155,Entire home/apt,70,1,6,2019-02-17,2.31,1,24
29978290,Home Away From Home in Historic Congress Park,66246440,Craig,,Congress Park,39.72968,-104.94786,Entire home/apt,148,2,2,2019-01-01,1.18,2,302
29990831,Cozy Denver retreat with all the amenities of home,6818956,Jenn,,Stapleton,39.79094,-104.88493,Entire home/apt,250,3,8,2019-02-15,3.08,2,153
